pair,starttime,endtime,interval,0.01,0.02,start,end
bttc/usdt,2022-01-25 04:00:00,2023-01-01 00:00:00,"340 days, 20:00:00",412804,59033,2023-01-09 18:13:37,2023-01-08 02:34:19
slp/usdt,2021-04-30 12:00:00,2023-01-01 00:00:00,"610 days, 12:00:00",255548,40655,2023-01-07 23:41:57,2023-01-08 02:46:25
cocos/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",154526,31559,2023-01-07 23:42:04,2023-01-08 04:14:36
gto/usdt,2021-01-01 00:00:00,2022-11-28 02:59:00,"696 days, 2:59:00",120370,31028,2023-01-07 23:42:11,2023-01-08 03:45:03
mith/usdt,2021-01-01 00:00:00,2022-12-22 08:59:00,"720 days, 8:59:00",138179,30759,2023-01-07 23:42:18,2023-01-08 03:52:27
ctxc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103724,28587,2023-01-08 02:34:19,2023-01-08 07:07:37
og/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",109471,27301,2023-01-08 02:46:25,2023-01-08 06:46:19
mbl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",108563,26675,2023-01-08 03:45:03,2023-01-08 08:23:53
btcst/usdt,2021-01-13 06:00:00,2022-11-28 02:59:00,"683 days, 20:59:00",117459,26535,2023-01-08 03:52:27,2023-01-08 07:41:15
burger/usdt,2021-04-30 12:00:00,2023-01-01 00:00:00,"610 days, 12:00:00",100322,26345,2023-01-08 04:14:36,2023-01-08 07:40:30
doge/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101665,25943,2023-01-08 06:46:19,2023-01-08 11:20:59
vtho/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",126219,24950,2023-01-08 07:07:37,2023-01-08 11:43:11
key/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",124536,24793,2023-01-08 07:40:30,2023-01-08 12:24:33
atm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91416,24676,2023-01-08 07:41:15,2023-01-08 11:44:28
anc/usdt,2022-01-25 11:00:00,2022-12-27 02:59:00,"335 days, 15:59:00",67511,24572,2023-01-08 08:23:53,2023-01-08 10:36:05
troy/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",117691,23136,2023-01-08 10:36:05,2023-01-08 15:11:24
asr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92514,23018,2023-01-08 11:20:59,2023-01-08 15:20:27
dent/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",129348,22616,2023-01-08 11:43:11,2023-01-08 16:13:03
wing/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",99449,22530,2023-01-08 11:44:28,2023-01-08 16:19:44
drep/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103878,22411,2023-01-08 12:24:33,2023-01-08 17:21:19
vite/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",98431,22286,2023-01-08 15:11:24,2023-01-08 19:53:59
tct/usdt,2021-01-01 00:00:00,2022-10-24 08:59:00,"661 days, 8:59:00",103703,21772,2023-01-08 15:20:27,2023-01-08 19:38:12
ftm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",144658,21634,2023-01-08 16:13:03,2023-01-08 20:50:03
dego/usdt,2021-03-10 11:00:00,2023-01-01 00:00:00,"661 days, 13:00:00",107014,21579,2023-01-08 16:19:44,2023-01-08 19:52:58
wrx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",112771,21511,2023-01-08 17:21:19,2023-01-08 22:01:03
mdt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",100249,21347,2023-01-08 19:38:12,2023-01-09 00:22:46
dnt/usdt,2021-01-01 00:00:00,2022-10-24 08:59:00,"661 days, 8:59:00",75679,21345,2023-01-08 19:52:58,2023-01-08 23:57:05
hot/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",114504,20876,2023-01-08 19:53:59,2023-01-09 00:28:04
ctsi/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",122395,20740,2023-01-08 20:50:03,2023-01-09 01:30:52
juv/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",79723,20577,2023-01-08 22:01:03,2023-01-09 02:14:43
acm/usdt,2021-02-24 11:00:00,2023-01-01 00:00:00,"675 days, 13:00:00",77399,20365,2023-01-09 18:14:02,2023-01-09 21:25:08
xvs/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",111045,20129,2023-01-09 18:14:09,2023-01-09 22:13:51
tlm/usdt,2021-04-13 06:00:00,2023-01-01 00:00:00,"627 days, 18:00:00",134095,19824,2023-01-09 18:14:16,2023-01-09 20:56:41
stpt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92310,19765,2023-01-09 18:14:23,2023-01-09 22:18:38
vidt/usdt,2021-09-09 08:00:00,2023-01-01 00:00:00,"478 days, 16:00:00",59064,19374,2023-01-09 18:14:30,2023-01-09 20:31:43
hive/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",84481,19267,2023-01-09 20:32:43,2023-01-10 00:41:27
gxs/usdt,2021-01-01 00:00:00,2022-04-25 03:59:00,"479 days, 3:59:00",80691,19128,2023-01-09 20:58:10,2023-01-09 23:54:26
vgx/usdt,2021-11-22 07:00:00,2023-01-01 00:00:00,"404 days, 17:00:00",61424,19052,2023-01-09 21:26:45,2023-01-09 23:35:56
forth/usdt,2021-04-23 09:00:00,2023-01-01 00:00:00,"617 days, 15:00:00",65572,19017,2023-01-09 22:15:54,2023-01-10 01:03:29
nkn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91180,18978,2023-01-09 22:20:51,2023-01-10 02:08:43
psg/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",83403,18678,2023-01-09 23:36:36,2023-01-10 03:03:32
mir/usdt,2021-04-19 11:00:00,2022-12-27 02:59:00,"616 days, 15:59:00",58609,18660,2023-01-09 23:55:26,2023-01-10 02:49:48
chr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",123916,18638,2023-01-10 00:43:20,2023-01-10 04:35:35
one/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",123289,18485,2023-01-10 01:04:51,2023-01-10 04:55:19
